[2025-09-16 13:53:25,837] INFO django.utils.autoreload C:\Users\Ayush\OneDrive - Crystal Hues Ltd\Desktop\consultation_webapp_industry\custom_admin\views.py changed, reloading.
[2025-09-16 13:53:27,443] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-09-16 13:56:51,817] INFO django.utils.autoreload C:\Users\Ayush\OneDrive - Crystal Hues Ltd\Desktop\consultation_webapp_industry\custom_admin\views.py changed, reloading.
[2025-09-16 13:56:53,318] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-09-16 13:57:37,540] INFO django.server "GET /consultant/consultant_timesheet/?year=2025&month=09&mode=upload HTTP/1.1" 200 48187
[2025-09-16 13:57:37,659] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 13:57:37,672] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 13:57:37,679] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 13:57:38,727] WARNING django.request Not Found: /favicon.ico
[2025-09-16 13:57:38,728] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 2855
[2025-09-16 13:57:49,324] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 26885
[2025-09-16 13:57:49,353] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 13:57:49,354] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 13:57:49,561] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 13:57:49,565] INFO django.server "GET /static/custom_admin/js/timesheet.js HTTP/1.1" 200 7231
[2025-09-16 14:02:35,135] INFO django.utils.autoreload C:\Users\Ayush\OneDrive - Crystal Hues Ltd\Desktop\consultation_webapp_industry\custom_admin\views.py changed, reloading.
[2025-09-16 14:02:36,743] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-09-16 14:02:40,786] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 26885
[2025-09-16 14:02:40,872] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 14:02:40,874] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 14:02:40,964] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 14:02:40,968] INFO django.server "GET /static/custom_admin/js/timesheet.js HTTP/1.1" 200 7231
[2025-09-16 14:02:49,670] INFO django.server "POST /auth/save_timesheet_entries/ HTTP/1.1" 200 69
[2025-09-16 14:02:54,408] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 27027
[2025-09-16 14:02:54,430] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 14:02:54,431] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 14:02:54,544] INFO django.server "GET /static/custom_admin/js/timesheet.js HTTP/1.1" 200 7231
[2025-09-16 14:02:54,544] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 14:03:07,267] INFO django.server "GET /consultant/consultant_timesheet/?year=2025&month=09&mode=upload HTTP/1.1" 200 48263
[2025-09-16 14:03:07,332] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 14:03:07,340] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 14:03:07,348] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 14:03:08,070] WARNING django.request Not Found: /favicon.ico
[2025-09-16 14:03:08,071] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 2855
